Date,V,ADBE,LLY,COST,MRK,ABBV,PG,AMZN,MSFT,AMD,NVDA,HD,XOM,CVX,JPM,TSLA,GOOGL,META,GOOG,AVGO,UNH,MA,AAPL,JNJ,CRM
2021-07-28,247.7156080786374,622.1716661395711,243.26775381091144,422.2379693288255,77.56339756999864,118.00559983972707,139.49826044474594,182.38874316159598,287.34104300514934,94.43920392485343,194.384545056089,328.86181723633376,57.80089031824017,100.16929339909692,151.26256562228554,216.2352727709178,133.85061902366033,368.68044592815994,136.93819802456198,478.895421071752,413.85785245066495,387.82058382817416,146.94558112450895,171.7613602967014,246.47300564648825
2021-07-29,248.8042845454048,621.8071037285866,244.3830286185979,423.75398232270277,77.60263196082418,118.3172352308786,139.78840562825377,181.7429184562841,287.4385773149882,97.91237901300939,194.31040213501615,328.996562827949,58.15858929283351,100.88942039156154,151.6645644543987,218.6473988204521,134.3977073229599,367.6636954011391,137.18855989093822,480.302763960715,413.3294031839704,389.5397173070939,146.79766095121568,172.1821326964822,245.53176543580443
2021-07-30,248.35254603122885,620.5702453928651,244.27522105320787,425.5188706338532,77.41594407523347,117.65952715909833,140.63812333596312,175.6387917667925,286.63704889155434,100.23073075663353,194.19020108640117,327.9935589823206,58.14746017926649,101.44436688375089,151.8968266709192,221.4054740976452,134.67452182525201,365.35557640734606,136.79821552739074,480.675079895024,412.4834275169302,387.9830705256627,146.3441933341454,172.25883043445785,244.1564608798266
2021-08-02,245.94190647490984,620.1399853093935,245.04743271712314,426.4359580676035,77.22038637332828,117.01237594730176,140.89330174166793,173.42381497670027,285.939537598216,102.18673240704594,195.1248842563483,327.122402452575,57.971128133177174,101.58785538288947,151.78795569964433,225.37096670303742,134.77700715178267,362.7365860046004,136.28707492992405,481.4341044112183,412.79439140537824,384.5443877010266,145.75576959741082,172.32718166914717,242.95342726505783
2021-08-03,243.0437304771457,620.7704060668144,249.88069652965632,428.46183093052696,76.97912242472881,116.77794859700573,141.49026206160428,171.35137516998756,285.9482162978773,105.61299310951466,196.64969336941414,328.10813947479636,58.03456881993384,101.94387624519712,152.10113829748366,229.8270424013648,135.67585291597803,360.61234399096026,136.1294578833209,484.10358929185213,414.42663343553426,378.20798414142695,145.74940688769573,172.72954443392442,242.4372759188803
2021-08-04,240.93010110202752,621.751882024631,253.50589982752473,430.6284503864512,76.4060617762999,116.24420665075374,142.19378832901666,169.8270557712928,285.9479165716405,110.74378808771112,198.19322719541185,329.0447372469992,57.77289639609016,101.7272849439854,151.99942143833732,232.45968539342232,135.25188548005397,356.12658033746476,135.9733270554756,485.76094816105046,417.1986777397131,375.5970093556756,146.26095895094224,172.9859788603117,242.48788749418236
2021-08-05,239.4934304938018,623.6288815842657,256.0928015512624,434.26801082796135,76.15100651374053,115.71520421437162,142.5851680822665,167.1732759363568,286.41305918871257,112.71229579502779,199.96451030304064,330.2215068563649,57.48163731674081,101.4922343497823,152.02880644885042,234.8741557114591,135.2631892823552,356.07864143536386,135.97915181376976,486.29003664640186,416.05536468265063,372.31660642535024,146.50119852778658,173.25132810846992,244.37445681109446
2021-08-06,238.66287406358467,625.513415975235,258.63347010162244,436.88787948137707,75.82300233797494,115.3171642792058,142.5262220697022,167.72215641362376,287.4279115013006,113.2824161535342,201.34324480733667,330.56456191077797,57.51609040275793,101.46989565083696,153.44453783439423,236.29773520001837,135.49682851926414,357.1439525040263,136.3795034165609,486.3199028578011,416.5056244690287,370.6084518031663,146.59121773823156,173.46368785318958,246.08931814963174
2021-08-09,238.536819767197,627.9477620683516,261.65242835871504,438.9782590468884,75.66677229553305,115.0176714253055,142.61869910824436,167.906538809533,288.1339717557715,113.12571845843054,202.34464091265474,330.84709746246045,57.435958044029945,101.17123956088723,154.58989637863704,236.4829770077285,135.90122679450388,359.07249240419327,136.76008152592695,486.65332757764253,415.91498832623,369.6537489621506,146.74955365775207,173.69268018286644,247.56149134487976
2021-08-10,238.89437315083228,627.5568094931303,265.0823498604046,440.60830622211057,75.39749331766572,114.69238030805433,142.15154954507912,167.38153800821658,287.9692961945534,112.22637266594631,203.1166471096732,330.71042242114754,57.41534779745484,101.09866344932765,155.73406688305738,236.48738518274322,136.14507104136266,361.3871060251564,137.1946964671073,485.72476271298376,413.9222150713005,370.1859762659751,146.31693547753784,173.5084705069642,247.62359869530533
